scenario,seed,variable,domain,sigma1_truth,sigma2_truth,sigma3_truth,truth_tail_energy,truth_sigma2_sigma1,truth_spectral_gap,truth_rank_class
AR-S2,0,0,core,0.025241425569221414,8.234784961291828e-18,1.0038012470079825e-18,3.3387483270331387e-16,3.2624088281816623e-16,7.230983714283846e-18,rank1
AR-S2,0,0,fit,0.02932551088042325,7.580977204959109e-18,1.309731850947338e-18,2.6855179625897173e-16,2.585113431057026e-16,6.271245354011771e-18,rank1
AR-S2,0,1,core,0.0306458831376325,3.732061545430903e-18,1.1847276343165435e-18,1.3809088868428686e-16,1.217801924216049e-16,2.5473339111143594e-18,rank1
AR-S2,0,1,fit,0.16816443229903683,3.5132512277832476e-17,5.988060910390618e-18,2.1785064041525287e-16,2.0891761591629802e-16,2.9144451367441856e-17,rank1
AR-S2,0,2,core,0.02249565782397865,7.05655836241552e-18,1.024389591857987e-18,3.2102137078819864e-16,3.1368535286368773e-16,6.032168770557534e-18,rank1
AR-S2,0,2,fit,0.02279690432036093,5.6519220800119275e-18,1.0988501452897414e-18,2.575224112784992e-16,2.479249814179351e-16,4.553071934722186e-18,rank1
AR-S2,1,0,core,0.02517407864412529,5.034134848199423e-18,1.2093226681535726e-18,2.142956158065731e-16,1.9997295310643695e-16,3.82481218004585e-18,rank1
AR-S2,1,0,fit,0.02963648132622942,4.943316657357684e-18,1.3057858153756198e-18,1.8296819877539838e-16,1.6679836593768165e-16,3.6375308419820645e-18,rank1
AR-S2,1,1,core,0.029075905030664068,7.135559685139801e-18,9.711501835801124e-19,2.5281651849852443e-16,2.454114387020623e-16,6.164409501559688e-18,rank1
AR-S2,1,1,fit,0.14678296391813495,2.6664449966397488e-17,5.073768576336953e-18,1.9226360864225504e-16,1.8165902400818814e-16,2.1590681390060535e-17,rank1
AR-S2,1,2,core,0.02238496469883528,8.188178335975771e-18,9.19664269111503e-19,3.71919217268414e-16,3.65789200302014e-16,7.268514066864268e-18,rank1
AR-S2,1,2,fit,0.023905063693518344,3.697393153463079e-18,8.933346923055987e-19,1.6774703999847166e-16,1.546698724950729e-16,2.8040584611574803e-18,rank1
AR-S2,2,0,core,0.02540874349919154,5.707342922291241e-18,1.0963212826846423e-18,2.3636528023299213e-16,2.2462121837991864e-16,4.6110216396065986e-18,rank1
AR-S2,2,0,fit,0.02942954068317471,5.878415254782763e-18,1.215640563874974e-18,2.1212674190051307e-16,1.9974539589547645e-16,4.662774690907789e-18,rank1
AR-S2,2,1,core,0.03181005298998721,7.082063194342802e-18,1.16007056575426e-18,2.3135997243836667e-16,2.2263600744619977e-16,5.921992628588542e-18,rank1
