direction,information_set,alpha,seed,mode,active_signature,rmse_delta,mae_delta,r2_delta,r2_level_reconstructed,persistence_skill
Rod_2_to_Rod_1,input_only,0.0,0,N2_REIDENTIFICATION,ZERO,0.1681712603778523,0.13381868483323306,-0.03270826179805919,-1.3316988504504743,-0.014751983024193338
Rod_2_to_Rod_1,input_only,0.0,1,N2_REIDENTIFICATION,ZERO,0.1681712603778523,0.13381868483323306,-0.03270826179805919,-1.3316988504504743,-0.014751983024193338
Rod_2_to_Rod_1,input_only,0.0,2,N2_REIDENTIFICATION,ZERO,0.1681712603778523,0.13381868483323306,-0.03270826179805919,-1.3316988504504743,-0.014751983024193338
Rod_2_to_Rod_1,input_only,0.0,3,N2_REIDENTIFICATION,ZERO,0.1681712603778523,0.13381868483323306,-0.03270826179805919,-1.3316988504504743,-0.014751983024193338
Rod_2_to_Rod_1,input_only,0.0,4,N2_REIDENTIFICATION,ZERO,0.1681712603778523,0.13381868483323306,-0.03270826179805919,-1.3316988504504743,-0.014751983024193338
Rod_2_to_Rod_1,input_only,0.0,5,N2_REIDENTIFICATION,ZERO,0.1681712603778523,0.13381868483323306,-0.03270826179805919,-1.3316988504504743,-0.014751983024193338
Rod_2_to_Rod_1,input_only,0.0,6,N2_REIDENTIFICATION,ZERO,0.1681712603778523,0.13381868483323306,-0.03270826179805919,-1.3316988504504743,-0.014751983024193338
Rod_2_to_Rod_1,input_only,0.0,7,N2_REIDENTIFICATION,ZERO,0.1681712603778523,0.13381868483323306,-0.03270826179805919,-1.3316988504504743,-0.014751983024193338
Rod_2_to_Rod_1,input_only,0.0,8,N2_REIDENTIFICATION,ZERO,0.1681712603778523,0.13381868483323306,-0.03270826179805919,-1.3316988504504743,-0.014751983024193338
Rod_2_to_Rod_1,input_only,0.0,9,N2_REIDENTIFICATION,ZERO,0.1681712603778523,0.13381868483323306,-0.03270826179805919,-1.3316988504504743,-0.014751983024193338
Rod_2_to_Rod_1,input_only,0.25,0,N2_REIDENTIFICATION,W,0.1618752043250334,0.13314962502868088,0.04317006826135572,-1.1603770730246046,0.023238666213224346
Rod_2_to_Rod_1,input_only,0.25,1,N2_REIDENTIFICATION,W,0.16223169413127722,0.1333007305017898,0.03895106866337772,-1.1699029351451866,0.021087592736097394
Rod_2_to_Rod_1,input_only,0.25,2,N2_REIDENTIFICATION,W,0.16169591216809945,0.132883361971699,0.045288454432669045,-1.1555940778814633,0.02432052212237701
Rod_2_to_Rod_1,input_only,0.25,3,N2_REIDENTIFICATION,W,0.1621161607296143,0.13350287182189738,0.04031940444506865,-1.166813440185913,0.021784725814481654
Rod_2_to_Rod_1,input_only,0.25,4,N2_REIDENTIFICATION,W,0.16187752564310817,0.13337735893387992,0.043142625855339234,-1.1604390338212407,0.023224659288888394
Rod_2_to_Rod_1,input_only,0.25,5,N2_REIDENTIFICATION,W,0.16200333170322975,0.1336778359250278,0.04165476973679283,-1.1637983875996087,0.022465540586334765
Rod_2_to_Rod_1,input_only,0.25,6,N2_REIDENTIFICATION,W,0.1620254552923862,0.1333662564888925,0.041393003714778276,-1.1643894156326255,0.022332045981384607
Rod_2_to_Rod_1,input_only,0.25,7,N2_REIDENTIFICATION,W,0.1615510537732243,0.13274163178884013,0.04699828162312414,-1.1517335470404428,0.025194603360318535
Rod_2_to_Rod_1,input_only,0.25,8,N2_REIDENTIFICATION,W,0.16190774421233534,0.13327782837313207,0.04278534883946705,-1.1612457112131112,0.023042319256599164
Rod_2_to_Rod_1,input_only,0.25,9,N2_REIDENTIFICATION,W,0.16208617542939802,0.1335538476172361,0.04067438015360447,-1.1660119587974833,0.021965658292407375
Rod_2_to_Rod_1,input_only,0.5,0,N2_REIDENTIFICATION,W,0.1623092358101745,0.1329537151889197,0.03803214640869912,-1.1719777224245678,0.020619703203419437
Rod_2_to_Rod_1,input_only,0.5,1,N2_REIDENTIFICATION,W,0.16297712345967902,0.1331954431954274,0.030099038574315284,-1.1898894784375713,0.016589642922909542
Rod_2_to_Rod_1,input_only,0.5,2,N2_REIDENTIFICATION,ZERO,0.1681712603778523,0.13381868483323306,-0.03270826179805919,-1.3316988504504743,-0.014751983024193338
Rod_2_to_Rod_1,input_only,0.5,3,N2_REIDENTIFICATION,ZERO,0.1681712603778523,0.13381868483323306,-0.03270826179805919,-1.3316988504504743,-0.014751983024193338
Rod_2_to_Rod_1,input_only,0.5,4,N2_REIDENTIFICATION,W,0.16232562485403176,0.1333081291600853,0.037837868748168524,-1.1724163719584872,0.020520811069789424
Rod_2_to_Rod_1,input_only,0.5,5,N2_REIDENTIFICATION,W,0.16255682630827656,0.133720540852845,0.035095089165437465,-1.1786091528596137,0.01912573242409299
Rod_2_to_Rod_1,input_only,0.5,6,N2_REIDENTIFICATION,W,0.16257733057562032,0.13315432615222605,0.034851655327784226,-1.1791587895967588,0.01900200887049186
