scenario,seed,variable,lag_basis_type,lag_basis_count,amplitude_basis_count,projection_surface_nrmse,identity_reference_nrmse,reference_ratio,prediction_grade_pass,structural_grade_pass
AR-S2,3,0,cubic_bspline,24,16,0.039494960803732285,6.518177081854186e-05,605.9203410364757,True,False
AR-S2,3,0,cubic_bspline,28,16,0.02508315332854204,6.518177081854186e-05,384.81853152425845,True,False
AR-S2,3,0,cubic_bspline,32,16,0.012317627319773138,6.518177081854186e-05,188.9734992635275,True,False
AR-S2,3,0,cubic_bspline,40,16,0.003844142673483819,6.518177081854186e-05,58.97573240508371,True,False
AR-S2,3,0,discrete_identity,64,16,6.518177081854186e-05,6.518177081854186e-05,1.0,True,True
AR-S2,3,1,cubic_bspline,24,16,0.08182120831666333,0.016017196950977898,5.108335033095032,True,False
AR-S2,3,1,cubic_bspline,28,16,0.028067121277660735,0.016017196950977898,1.7523116787264799,True,True
AR-S2,3,1,cubic_bspline,32,16,0.021501739881762842,0.016017196950977898,1.34241590133223,True,True
AR-S2,3,1,cubic_bspline,40,16,0.016472791578206854,0.016017196950977898,1.0284440922230866,True,True
AR-S2,3,1,discrete_identity,64,16,0.016017196950977898,0.016017196950977898,1.0,True,True
AR-S2,3,2,cubic_bspline,24,16,0.061290742915607835,0.0013871038406257123,44.18612444181543,True,False
AR-S2,3,2,cubic_bspline,28,16,0.0385896338268806,0.0013871038406257123,27.8202919613236,True,False
AR-S2,3,2,cubic_bspline,32,16,0.01715647729596841,0.0013871038406257123,12.368560156411396,True,False
AR-S2,3,2,cubic_bspline,40,16,0.003932005016410504,0.0013871038406257123,2.8346868498589157,True,False
AR-S2,3,2,discrete_identity,64,16,0.0013871038406257123,0.0013871038406257123,1.0,True,True
AR-S2,4,0,cubic_bspline,24,16,0.03949494732077859,5.640906055290625e-05,700.1525452411345,True,False
AR-S2,4,0,cubic_bspline,28,16,0.02508313207901136,5.640906055290625e-05,444.6649497997898,True,False
AR-S2,4,0,cubic_bspline,32,16,0.012317584027297022,5.640906055290625e-05,218.36180050799317,True,False
AR-S2,4,0,cubic_bspline,40,16,0.003844003931933839,5.640906055290625e-05,68.14515069486993,True,False
AR-S2,4,0,discrete_identity,64,16,5.640906055290625e-05,5.640906055290625e-05,1.0,True,True
AR-S2,4,1,cubic_bspline,24,16,0.0815514098295298,0.014566647560731338,5.598502297081415,True,False
AR-S2,4,1,cubic_bspline,28,16,0.02726579344607093,0.014566647560731338,1.8717960555024242,True,True
AR-S2,4,1,cubic_bspline,32,16,0.0204443286051911,0.014566647560731338,1.4035026604408807,True,True
AR-S2,4,1,cubic_bspline,40,16,0.015066192027786226,0.014566647560731338,1.034293715487533,True,True
AR-S2,4,1,discrete_identity,64,16,0.014566647560731338,0.014566647560731338,1.0,True,True
AR-S2,4,2,cubic_bspline,24,16,0.06129519573459156,0.001572249110056162,38.98567685142594,True,False
AR-S2,4,2,cubic_bspline,28,16,0.03859672180663664,0.001572249110056162,24.54873185156895,True,False
AR-S2,4,2,cubic_bspline,32,16,0.01717243323428293,0.001572249110056162,10.922208907257398,True,False
AR-S2,4,2,cubic_bspline,40,16,0.0040010706356689105,0.001572249110056162,2.5448070602030675,True,False
AR-S2,4,2,discrete_identity,64,16,0.001572249110056162,0.001572249110056162,1.0,True,True
AR-S3,0,0,cubic_bspline,24,16,0.04561887639190565,6.333141014930147e-05,720.319921573842,True,False
AR-S3,0,0,cubic_bspline,28,16,0.033438129712897655,6.333141014930147e-05,527.9865020227483,True,False
AR-S3,0,0,cubic_bspline,32,16,0.008149907975974702,6.333141014930147e-05,128.68666522285852,True,False
AR-S3,0,0,cubic_bspline,40,16,0.003728365251173529,6.333141014930147e-05,58.870712690338735,True,False
AR-S3,0,0,discrete_identity,64,16,6.333141014930147e-05,6.333141014930147e-05,1.0,True,True
AR-S3,0,1,cubic_bspline,24,16,0.08122473027661437,0.015458315932599885,5.254435905616365,True,False
AR-S3,0,1,cubic_bspline,28,16,0.03322409111244143,0.015458315932599885,2.14926976892583,True,False
AR-S3,0,1,cubic_bspline,32,16,0.022459759127008108,0.015458315932599885,1.4529240588001537,True,True
AR-S3,0,1,cubic_bspline,40,16,0.015897715293525592,0.015458315932599885,1.028424788498407,True,True
AR-S3,0,1,discrete_identity,64,16,0.015458315932599885,0.015458315932599885,1.0,True,True
AR-S3,0,2,cubic_bspline,24,16,0.06486927887493094,0.0011460921277711633,56.600405240618834,True,False
AR-S3,0,2,cubic_bspline,28,16,0.03935230566585347,0.0011460921277711633,34.336075357556965,True,False
AR-S3,0,2,cubic_bspline,32,16,0.016945585237175514,0.0011460921277711633,14.785534972768776,True,False
AR-S3,0,2,cubic_bspline,40,16,0.0038495191986179468,0.0011460921277711633,3.3588217782319227,True,False
