scenario,seed,variable,lag_basis_type,lag_basis_count,amplitude_basis_count,surface_nrmse,domain_lower,domain_upper
AR-S2,1,0,cubic_bspline,32,24,0.012317936889613738,-4.467411914119744,4.780628086959977
AR-S2,1,0,discrete_identity,64,24,0.00010897820051661815,-4.467411914119744,4.780628086959977
AR-S2,1,1,cubic_bspline,32,16,0.014346672953089569,-4.3347064790584895,4.843539839746676
AR-S2,1,1,discrete_identity,64,16,1.1153859557987515e-15,-4.3347064790584895,4.843539839746676
AR-S2,1,1,cubic_bspline,32,20,0.014346672953089609,-4.3347064790584895,4.843539839746676
AR-S2,1,1,discrete_identity,64,20,1.0618182787517261e-15,-4.3347064790584895,4.843539839746676
AR-S2,1,1,cubic_bspline,32,24,0.014346672953089562,-4.3347064790584895,4.843539839746676
AR-S2,1,1,discrete_identity,64,24,1.591587134149861e-15,-4.3347064790584895,4.843539839746676
AR-S2,1,2,cubic_bspline,32,16,0.01712660697364373,-4.039000552347212,4.053828964164553
AR-S2,1,2,discrete_identity,64,16,0.0009485308359045125,-4.039000552347212,4.053828964164553
AR-S2,1,2,cubic_bspline,32,20,0.017102745276856214,-4.039000552347212,4.053828964164553
AR-S2,1,2,discrete_identity,64,20,0.00028757853042638487,-4.039000552347212,4.053828964164553
AR-S2,1,2,cubic_bspline,32,24,0.017100720499986996,-4.039000552347212,4.053828964164553
AR-S2,1,2,discrete_identity,64,24,0.00011587392905133283,-4.039000552347212,4.053828964164553
AR-S2,2,0,cubic_bspline,32,16,0.012350969678933678,-4.407578855833937,4.529240028542886
AR-S2,2,0,discrete_identity,64,16,0.0009093309046486141,-4.407578855833937,4.529240028542886
AR-S2,2,0,cubic_bspline,32,20,0.012320439716750344,-4.407578855833937,4.529240028542886
AR-S2,2,0,discrete_identity,64,20,0.00027120325046834954,-4.407578855833937,4.529240028542886
AR-S2,2,0,cubic_bspline,32,24,0.012317793565284159,-4.407578855833937,4.529240028542886
AR-S2,2,0,discrete_identity,64,24,9.134994717145037e-05,-4.407578855833937,4.529240028542886
AR-S2,2,1,cubic_bspline,32,16,0.014346672953089548,-4.381179318229322,4.1332490099661525
AR-S2,2,1,discrete_identity,64,16,9.996188402995947e-16,-4.381179318229322,4.1332490099661525
AR-S2,2,1,cubic_bspline,32,20,0.014346672953089558,-4.381179318229322,4.1332490099661525
AR-S2,2,1,discrete_identity,64,20,7.123106375931147e-16,-4.381179318229322,4.1332490099661525
AR-S2,2,1,cubic_bspline,32,24,0.014346672953089546,-4.381179318229322,4.1332490099661525
AR-S2,2,1,discrete_identity,64,24,8.423427705754316e-16,-4.381179318229322,4.1332490099661525
AR-S2,2,2,cubic_bspline,32,16,0.017265925854191472,-4.859696472143043,5.053447684452796
AR-S2,2,2,discrete_identity,64,16,0.0023859257059017226,-4.859696472143043,5.053447684452796
AR-S2,2,2,cubic_bspline,32,20,0.017114336508354776,-4.859696472143043,5.053447684452796
