scenario,seed,variable,lag_basis_type,lag_basis_count,amplitude_basis_count,surface_nrmse,domain_lower,domain_upper
AR-S2,3,2,discrete_identity,64,16,0.0010037353617209635,-2.4435492940513197,2.1917242862147535
AR-S2,3,2,cubic_bspline,32,20,0.017103011962029825,-2.4435492940513197,2.1917242862147535
AR-S2,3,2,discrete_identity,64,20,0.00030302846032358177,-2.4435492940513197,2.1917242862147535
AR-S2,3,2,cubic_bspline,32,24,0.01710076168533974,-2.4435492940513197,2.1917242862147535
AR-S2,3,2,discrete_identity,64,24,0.00012180221495065151,-2.4435492940513197,2.1917242862147535
AR-S2,4,0,cubic_bspline,32,16,0.01240658241689684,-2.257957250031499,2.292153837567368
AR-S2,4,0,discrete_identity,64,16,0.0014845628569336523,-2.257957250031499,2.292153837567368
AR-S2,4,0,cubic_bspline,32,20,0.012322171722897544,-2.257957250031499,2.292153837567368
AR-S2,4,0,discrete_identity,64,20,0.0003409381675845768,-2.257957250031499,2.292153837567368
AR-S2,4,0,cubic_bspline,32,24,0.012317922576134701,-2.257957250031499,2.292153837567368
AR-S2,4,0,discrete_identity,64,24,0.00010734789155581621,-2.257957250031499,2.292153837567368
AR-S2,4,1,cubic_bspline,32,16,0.014346672953089593,-2.2906900525016143,2.279082864773441
AR-S2,4,1,discrete_identity,64,16,1.9356699692360692e-15,-2.2906900525016143,2.279082864773441
AR-S2,4,1,cubic_bspline,32,20,0.014346672953089603,-2.2906900525016143,2.279082864773441
AR-S2,4,1,discrete_identity,64,20,1.9579444374823733e-15,-2.2906900525016143,2.279082864773441
AR-S2,4,1,cubic_bspline,32,24,0.01434667295308959,-2.2906900525016143,2.279082864773441
AR-S2,4,1,discrete_identity,64,24,1.894225921476869e-15,-2.2906900525016143,2.279082864773441
AR-S2,4,2,cubic_bspline,32,16,0.0171493578443271,-2.257215117611226,2.3981551057401846
AR-S2,4,2,discrete_identity,64,16,0.0012960504962783279,-2.257215117611226,2.3981551057401846
