scenario,seed,partition,r2_y_x_truth,r2_y_ar_truth,r2_y_xar_truth,r2_x_self,target_variance,x_variance_ratio,ar_variance_ratio,process_variance_ratio,noise_variance_ratio,active_contribution_variances
AR-S4,4,test,0.2502369985368842,0.9171440292636056,0.9872297799859892,1.0,8.8647972243152,0.07262509063698293,0.7499229367283318,0.004529277752541986,0.008341229169212885,"[0.2014394858275323, 0.17325671703909398, 0.1854418168766327, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S7,0,train,-0.3556690695264044,0.9434948575431875,0.9882217053010253,1.0,12.42663194802712,0.031102571247587515,0.7414884694080394,0.0031607745267137424,0.008649106553207357,"[0.21682429110503382, 0.10574024407627644, 0.0890433831946427, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S7,0,validation,-1.3399716818061593,0.8967999719300833,0.9764204120453006,1.0,6.137141194886195,0.048690400345655166,0.7363695702804013,0.006684565700357701,0.016808087613131007,"[0.15754872730897534, 0.08204242098443486, 0.06335485408231134, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S7,0,test,-1.5514947342765204,0.8981642784764544,0.9822382111753148,1.0,8.28320492750909,0.04418986750781461,0.7084812692453936,0.004848657558289783,0.012797231269932739,"[0.14279169713864465, 0.11409515200965133, 0.09043745721229504, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S7,1,train,-0.006119465105309807,0.9534931370190229,0.9850518198233984,1.0,18.491360067354563,0.02676812824649741,0.7433630194780477,0.0021895414195931755,0.012797116131574708,"[0.29313039960046566, 0.09244875876297383, 0.09147293640005055, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S7,1,validation,0.2425672666616545,0.9667729344597449,0.9898757027029663,1.0,26.8628005883908,0.02417459224245413,0.7503634778975207,0.0015334120033081368,0.008695742414415623,"[0.4144738648730536, 0.08489099697871043, 0.08774515464971767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S7,1,test,-3.928646805374517,0.7431921070692514,0.9203794809840721,1.0,3.5825510724263303,0.08408455186663504,0.6480491060840642,0.010877403915111498,0.06746932076112672,"[0.09919990558070013, 0.11554690550045472, 0.0814061604964755, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S7,2,train,0.2124943050196031,0.960681470131829,0.9871478357681454,1.0,20.74554211606678,0.02625314286422035,0.7479913646706928,0.0019663944994834717,0.010822044179977045,"[0.3472207716408597, 0.1084206325613067, 0.08870507194945011, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S7,2,validation,-0.03284893995112248,0.9493249301829205,0.9829067339674146,1.0,14.965327164402057,0.029350639408794874,0.7425664509713341,0.0025693681900112028,0.014400789535187234,"[0.3001399853680711, 0.08771156896428876, 0.08839317840628302, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S7,2,test,0.06818414556832209,0.9565732193506074,0.9875082765373246,1.0,20.14907813301227,0.028317640297286808,0.7455859346353693,0.001986278770544239,0.010334094502574734,"[0.3039292860777221, 0.11872215581445593, 0.08286306468197827, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S7,3,train,0.2411749862969036,0.9656014687865047,0.9896087250126295,1.0,23.83186376265997,0.02440267337585539,0.7488159346934552,0.0016662468304743001,0.008865751302671683,"[0.37850464499360986, 0.06949511630099924, 0.09279064464591057, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S7,3,validation,-0.29516153550071556,0.9378929630349104,0.9804533744896875,1.0,13.044179397781159,0.030455858702514257,0.7362748127952977,0.0031969959322858937,0.01632544807177198,"[0.24731834499770253, 0.09614018527204542, 0.06599322173484316, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S7,3,test,-3.7472438189421657,0.7684610624463086,0.9228294353954084,1.0,3.237586767015927,0.07103881683971314,0.6685993427589626,0.011889192044784056,0.06713779614007256,"[0.09570979789930167, 0.09023583301402467, 0.0842384654914081, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S7,4,train,0.1644296427504488,0.9611243386973387,0.9869485409343381,1.0,21.99185096067712,0.024588605967187663,0.7459928684772502,0.0018511734283115085,0.011350567272540153,"[0.3534730968138836, 0.07983033999491533, 0.07673216573471822, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S7,4,validation,-0.2157883841032895,0.9393790211383336,0.9810481608463374,1.0,15.08977722853004,0.029709931034420423,0.7384505771793265,0.0026032026332774316,0.016118149175028306,"[0.25153451526176, 0.14158865690343553, 0.09045781872704425, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S7,4,test,0.2404876096995987,0.9629072115465833,0.989548200254538,1.0,26.14400503065843,0.02503559713075676,0.7380140479144854,0.0015207046930361013,0.009140007839904016,"[0.40343202813160034, 0.09444759257651753, 0.07395501963533317, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
