scenario,seed,variable,distribution,rank,normalized_excess_rmse,validation_contribution_r2,empirical_operator_nrmse,modal_gains,refit_intercept
AR-S4U,2,0,NAT,2,0.23987494796535505,0.9423229683488102,0.24016042898693724,"[1.0249925542487204, 1.0139237080008277]",-0.018493522593925407
AR-S4U,2,0,NAT,3,0.14272299140669154,0.9794931067341175,0.14320228093812787,"[0.998099907516514, 1.0070948334128018, 0.9825518908301093]",-0.01861953843096276
AR-S4U,2,0,NAT,4,0.06465020549878524,0.9956833099391569,0.06570152251541143,"[0.9983014588148917, 1.0019366758433057, 0.990576147822662, 1.0037028412329405]",-0.018616458159530277
AR-S4U,2,0,NAT,5,0.029152115911218628,0.9990131131480909,0.03141475532148996,"[0.9999687125951262, 1.001574117814018, 0.9977302021732756, 1.001498850643694, 0.9943007754517016]",-0.01864573565203625
AR-S4U,2,0,NAT,6,0.012030289504265837,0.9997182311446356,0.016785971981520896,"[0.9999677068577633, 1.0003111937327187, 1.000388699326408, 1.0012729390063875, 1.0039279626383484, 0.9817714034600524]",-0.01863374380988352
AR-S4U,2,0,NAT,7,0.0036592279184943103,0.9998495690612326,0.012265029097700669,"[1.0000364531753603, 1.0001231516344542, 1.0005926626427704, 1.0011450192563256, 1.000447067734176, 1.0053823466831713, 0.9978619987672549]",-0.018639272625679926
AR-S4U,2,0,NAT,8,0.0,0.9998667929331889,0.011541536587955991,"[1.0000816176255765, 1.000138883852846, 1.0002012068685322, 1.0004687486779313, 1.0005116424233724, 1.0042589684526764, 1.0042653199161597, 1.007921089795463]",-0.018639684904310554
AR-S4U,2,0,NAT,9,0.0,0.9998651479450166,0.011612581753574552,"[1.000078276458208, 1.0000798503714547, 1.0001660936273493, 1.0002833021741941, 1.0004695324661732, 1.0044359820571693, 1.0053042452593437, 1.0084585306401517, 0.9869324108759362]",-0.018639378747368922
AR-S4U,2,0,NAT,10,0.0,0.999864425275066,0.011643655995177233,"[1.0000422375469766, 1.0000752192480589, 1.0002039871930872, 1.0001124915086697, 1.0000215967591555, 1.0032438059542033, 1.0059670596019117, 1.0143848396081665, 0.9619151080240319, 1.1748106495562696]",-0.018639295175671425
AR-S4U,2,0,NAT,11,0.0,0.999863340234179,0.011690156791976922,"[1.0000362781597256, 1.0000887408590557, 1.000149854378191, 1.000226071220154, 0.9996808731775312, 1.0043634045754657, 1.0004105217664911, 1.0119470413391487, 0.9904722987186203, 1.1640368660246803, 1.030151809884537]",-0.018638127394179853
AR-S4U,2,0,NAT,12,0.0,0.9998638407092133,0.011668731327212854,"[1.0000537371702118, 1.0001002847696685, 1.0000714988448485, 0.9999411740952641, 0.9993937319029553, 1.0040531972339863, 1.0001497077232262, 1.0135327746940785, 0.9718682849757171, 1.1482614400561728, 1.0498002052134845, 0.9309115961248369]",-0.018638282620148793
AR-S4U,2,1,NAT,1,0.7161117739756021,0.4870818950435509,0.716183010798531,[0.9384507192674968],0.012140111801069638
AR-S4U,2,1,NAT,2,0.208855872791599,0.9562771922704942,0.2090999945707932,"[0.9965593983144514, 1.0070517290210528]",0.012364909286127768
AR-S4U,2,1,NAT,3,0.1351227498366619,0.9816398103466137,0.13549977731858556,"[0.9971915249434453, 1.0024294707302939, 1.013382079307027]",0.012306451659550383
AR-S4U,2,1,NAT,4,0.05991101315803679,0.9963086383724123,0.060756576825785835,"[0.9996680432900367, 1.0013330346071796, 0.9969998589126774, 1.0282252280232176]",0.012277387768159856
AR-S4U,2,1,NAT,5,0.028258075529063183,0.9990994490374286,0.03000918130458404,"[1.000092959488878, 1.0000002008857491, 1.0021062259496203, 1.0002952637618667, 1.0108418645354766]",0.012257844022513115
AR-S4U,2,1,NAT,6,0.010540811135735509,0.9997868591706356,0.0145993434566217,"[0.9999164784477212, 1.00024618498852, 0.9991216053819212, 0.9996229037945369, 1.005483545135077, 1.01695642330026]",0.012258140397474611
AR-S4U,2,1,NAT,7,0.0048763746419439105,0.9998741888403863,0.01121655738690578,"[0.9999914116711811, 0.999949400850096, 1.0001771065119576, 1.000483730199543, 1.0042181175586413, 1.0156842934099262, 1.0626917565550662]",0.012267334312141435
AR-S4U,2,1,NAT,8,0.0,0.9998985263401965,0.010073413512982105,"[1.0001597225413605, 1.000054801612432, 1.000162344989641, 1.000512075041541, 1.0050996923447424, 1.0085720774888118, 1.0510873220698154, 1.1012218983807474]",0.012266550146117498
AR-S4U,2,1,NAT,9,0.0,0.9998982163034439,0.01008879063892746,"[1.0001564558646754, 1.0000021487469686, 1.0001189835699864, 1.0006458527888495, 1.0047841084317788, 1.0102387914081188, 1.0498139904541564, 1.1028938295107313, 1.0507070441554651]",0.012265812711224315
AR-S4U,2,1,NAT,10,0.0,0.9998986506453719,0.010067241659370807,"[1.0001500754437211, 0.9999955603878457, 1.0001414189291924, 1.0007653539916403, 1.0049514432176545, 1.0097376970874161, 1.0498566543149719, 1.1018208302583898, 1.0608828853835044, 0.8693117687792856]",0.012265734383924906
AR-S4U,2,1,NAT,11,0.0,0.9998985676543,0.010071362653584253,"[1.0001393090269814, 1.0000239855959234, 1.0001129620073603, 1.000728818930303, 1.0043972984078262, 1.0106637844780084, 1.048553788529148, 1.0934454065155428, 1.0759440432799872, 0.9226175491683896, 1.1535871644133522]",0.012266146276378023
AR-S4U,2,1,NAT,12,0.0,0.9998989999514831,0.010049878034924669,"[1.0001267839985462, 1.0000077527231017, 1.0001525397056408, 1.0011264350031384, 1.0040697853343, 1.0102095226579195, 1.042113164134621, 1.0882399497144386, 1.0474446153839778, 0.9381163145339133, 1.2331051967536077, 0.9409595319733209]",0.012266310720237207
AR-S4U,2,2,NAT,1,0.41870322526338144,0.8241514639215364,0.41934298143460513,[1.0115801291116935],0.01078608430928803
AR-S4U,2,2,NAT,2,0.26610792996301996,0.9286504243782908,0.2671134134065701,"[1.0051607462338907, 0.9977800813371324]",0.01069333853790998
AR-S4U,2,2,NAT,3,0.14671198551207718,0.9779394480745984,0.1485279499804721,"[0.9985070851810767, 1.0095346447063842, 0.9982883970825491]",0.010675805993615395
AR-S4U,2,2,NAT,4,0.06604266827203209,0.9951022207350047,0.06998413580944866,"[0.998248125058178, 1.0024805200328208, 1.000704975424188, 1.0144885219300441]",0.010651900429801202
