scenario,seed,variable,lag_basis_count,amplitude_basis_count,lag_smoothness,amplitude_smoothness,train_contribution_rmse,train_contribution_r2,validation_contribution_rmse,validation_contribution_r2,test_contribution_rmse,test_contribution_r2,surface_nrmse,e1r_projection_nrmse,excess_surface_error,relative_kkt_residual,condition_number,full_validation_mse,rank1_validation_mse,rank2_validation_mse,eta1,eta2,eta3,capacity_pass
AR-S4,0,1,32,16,0.1,0.1,0.294406293022474,0.5111114841146889,0.2815778910262168,0.48450427159861,0.32696555604142713,0.4885388114292253,0.8446419023948446,0.019495690919759084,0.8251462114750855,6.011435381108323e-16,6749376132.980892,0.079286108714772,0.07847040423813227,0.07889921973823236,0.0520276927862019,0.03662585924387617,0.023044038695283573,False
AR-S4,1,1,32,16,0.1,0.1,0.2849372189855264,0.5078941810310513,0.27845199065805826,0.4471490977904816,0.38650336752042613,0.41100175908487435,0.8601177779594529,0.020294448406566502,0.8398233295528864,5.887918624012641e-16,7581127946.033272,0.07753551110143535,0.07580180088076181,0.07658636412567388,0.05761625149082374,0.038691622786422485,0.02297641975197902,False
AR-S4,2,1,32,16,0.1,0.1,0.2975101864321483,0.5636242004520572,0.32334597509966967,0.4312218656361463,0.32403030148209383,0.5340431997138431,0.8176386374877748,0.018382664967211824,0.7992559725205629,5.953087048645007e-16,7152587490.2502365,0.1045526196131562,0.10214580540039674,0.10282782017794849,0.04548079890700184,0.027952573087034173,0.017211409015045694,False
AR-S4,3,1,32,16,0.1,0.1,0.268219855725388,0.4822347975842056,0.305952790346174,0.43327051386218607,0.3150921865944281,0.4632145847544147,0.8504455235477665,0.018629075288684706,0.8318164482590817,7.1330630815520945e-16,6489520444.165721,0.0936071099206099,0.09230619676162706,0.09386610608603463,0.04848417168262138,0.031101225257603688,0.015468214418375275,False
AR-S4,4,1,32,16,0.1,0.1,0.25949596986184303,0.5339158541308526,0.35629133563116466,0.5186948882934768,0.29039212795784847,0.5132795459765087,0.8182241102348536,0.017827833615271748,0.8003962766195819,6.362156826557966e-16,7733721363.089397,0.1269435158458392,0.12363385911432394,0.1256464484067991,0.06733349140686626,0.03237657272966931,0.018803875527647874,False
AR-S4,0,2,32,16,0.1,0.1,0.28797465538886463,0.5777219885489291,0.3007553207462833,0.471694019690476,0.2918675254641461,0.5487280748529803,0.7216041396167471,0.023836903095809468,0.6977672365209376,4.129555111239213e-16,7410729496.049393,0.09045376295719976,0.08726780068335085,0.08930443274813865,0.0501443349679855,0.030046862887564463,0.0155955379098591,False
AR-S4,1,2,32,16,0.1,0.1,0.27682287740438155,0.5997319503558243,0.2725497135386498,0.6041442247441261,0.2921961580077472,0.538469928118515,0.7037998132477256,0.024592832649656168,0.6792069805980694,3.391812596552933e-16,8117759456.881192,0.07428334635000007,0.07452757505719447,0.07406514751924209,0.051047327286932065,0.031362574746675816,0.01967755040872378,False
AR-S4,2,2,32,16,0.1,0.1,0.29034596537849583,0.5654323040718441,0.3021890648811728,0.5349229150367472,0.2942026814396269,0.5454848961421529,0.7368948565479579,0.0242127314052641,0.7126821251426938,3.614648610621887e-16,7253848135.44685,0.09131823093375765,0.0901386408624955,0.09067937633654276,0.04263442055409373,0.027571781777851165,0.014793378789797144,False
AR-S4,3,2,32,16,0.1,0.1,0.27926336358893716,0.5961968332633887,0.2943852589715366,0.4663631340996687,0.3027840911758506,0.5288124042994303,0.7365495156705982,0.02383333533939798,0.7127161803312002,3.3936367342259066e-16,7981729251.931422,0.08666268069973866,0.08504648043738393,0.0853787915045622,0.05155384259253654,0.029197144820337594,0.01875317875241993,False
AR-S4,4,2,32,16,0.1,0.1,0.28518155327175027,0.5541725809765015,0.2779353502837988,0.6076094608270526,0.30687805384827815,0.49216340995862284,0.7233437490503372,0.024225530986433385,0.6991182180639037,3.8924169153637153e-16,6526996262.961299,0.07724805893737792,0.07659303271082506,0.07772695148823337,0.05399754572308267,0.035293703115422674,0.0229954292842047,False
